pattern,rating,events,pattern_str
"0.5177432,0.0,0.0,0.0,0.0,0.37290582,0.06274441,-1.6747459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.1271307942291062,[73],
"0.5177432,0.0,0.0,0.0,0.32214966,0.37290582,0.06274441,-1.6747459,-0.1709293,-0.91523457,0.79711986,-1.8522046,0.0,0.44117692,-0.75993305,0.79711986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.75,"[73, 8, 4]",
"0.5177432,0.0,0.0,0.0,0.32214966,0.37290582,0.06274441,-1.6747459,-0.1709293,-0.91523457,0.79711986,-1.8522046,-0.23556541,0.44117692,-0.75993305,0.79711986,0.0,1.292168,-1.0032946,-0.33068386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.15625,"[73, 8, 4, 10]",b.x not = d.x and b.y not = d.y and b.z not = d.z and 
"0.5177432,0.0,0.0,0.0,0.32214966,0.37290582,0.06274441,-1.6747459,-0.1709293,-0.91523457,0.79711986,-1.8522046,-0.23556541,0.44117692,-0.75993305,0.79711986,0.7274042,1.292168,-1.0032946,-0.33068386,0.0,0.63967603,1.6686074,1.441748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0,"[73, 8, 4, 10, 74]",b.x not = d.x and b.y not = d.y and b.z not = d.z and c.x not < e.x and c.y not < e.y and c.z not < e.z and d.x not > e.x and d.y not > e.y and d.z not > e.z and 
"0.5177432,0.0,0.0,0.0,0.32214966,0.37290582,0.06274441,-1.6747459,-0.1709293,-0.91523457,0.79711986,-1.8522046,-0.23556541,0.44117692,-0.75993305,0.79711986,0.7274042,1.292168,-1.0032946,-0.33068386,-1.4890969,0.63967603,1.6686074,1.441748,0.0,-0.018192561,-0.17500906,0.9051165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.125,"[73, 8, 4, 10, 74, 67]",b.x not = d.x and b.y not = d.y and b.z not = d.z and c.x not < e.x and c.y not < e.y and c.z not < e.z and d.x not > e.x and d.y not > e.y and d.z not > e.z and e.x not > b.x and e.z not > b.z and 
"-0.5309369,0.0,0.0,0.0,-0.5179027,-0.52104217,0.7202119,0.11870246,1.0567229,0.5237459,-1.9740636,-0.4040296,0.0,1.5400741,0.9072777,0.9072777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.2705078125,"[58, 49, 19]",
"-0.5309369,0.0,0.0,0.0,-0.5179027,-0.52104217,0.7202119,0.11870246,1.0567229,0.5237459,-1.9740636,-0.4040296,-0.1709293,1.5400741,0.9072777,0.9072777,-0.76776975,-1.2135041,1.2186967,0.66496736,0.32214966,0.7202119,-1.1275393,0.65110385,1.5570691,-2.0403368,0.7756002,-0.91523457,0.0,2.6690779,0.37290582,-0.9437499,0.0,0.0,0.0,0.0,0.0",4.404296875,"[58, 49, 19, 4, 52, 8, 54]",a.x < g.x and a.y < g.y and a.z < g.z and b.x > f.x and b.y > f.y and b.z > f.z and c.x = a.x and c.z = a.z and e.y not < d.y and e.z not < d.z and f.x not = d.x and f.z not = d.z and 
"-1.4890969,0.0,0.0,0.0,-0.1709293,-0.7183736,0.077948466,0.66496736,0.0,-0.12653075,0.7756002,0.43333918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.546875,"[67, 4]",a.x > b.x and a.y > b.y and  and 
"-1.6013154,0.0,0.0,0.0,-1.947619,-0.7183736,0.47156447,-0.3515844,0.0,-1.9822359,-1.6747459,-1.0658216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.1875,"[23, 13]",
"-1.6013154,0.0,0.0,0.0,-1.947619,-0.7183736,0.47156447,-0.3515844,-0.23556541,-1.9822359,-1.6747459,-1.0658216,-1.6013154,-0.00036365993,1.441748,0.8736079,0.7274042,-0.9485791,-0.635928,0.79711986,-1.2897754,1.0330436,0.44782278,0.29748788,0.5248462,1.0330436,-0.3515844,-1.0953175,0.0,-1.0326073,-0.12653075,0.94722736,0.0,0.0,0.0,0.0,0.0",3.6015625,"[23, 13, 10, 23, 74, 40, 105]",b.x not > c.x and b.y not > c.y and b.z not > c.z and c.x not > e.x and c.y not > e.y and c.z not > e.z and d.x not < a.x and d.y not < a.y and d.z not < a.z and e.x not > b.x and e.z not > b.z and f.x < c.x and f.y < c.y and f.z < c.z and 
