pattern,rating,events,pattern_str
"0.564358,0.0,0.0,0.0,0.51957995,0.16599564,-0.42451325,-0.69247884,-0.6944916,0.34941176,-0.87394685,-0.090982966,-2.360562,-0.7520712,2.2611248,-0.090982966,0.1537978,-0.43971962,0.22080576,-0.5110442,-0.2880653,0.43412462,-1.3236763,-0.44976217,-0.4561485,-0.16503073,-0.16503073,0.45118022,-0.13471155,0.43412462,-0.23639293,-0.0071045975,0.0,1.2717271,0.8837442,-0.87394685,0.0",3.8767411249999997,"[67, 74, 24, 97, 105, 68, 57, 64]",a.x > b.x and a.y > b.y and a.z > b.z and c.z not = a.z and d.x <  58313 and d.y <  79984 and d.z <  13720 and e.x < h.x and e.y < h.y and e.z < h.z and f.x > e.x and f.y > e.y and f.z > e.z and g.y not = c.y and g.z not = c.z 
"-0.13471155,0.0,0.0,0.0,-0.38195708,-0.090982966,-0.42952806,0.5475132,-0.38195708,-1.902445,-0.090982966,-0.28666398,0.0,-0.090982966,1.2329727,-1.1436456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.665,"[64, 4, 4]",
"-0.13471155,0.0,0.0,0.0,-0.38195708,-0.090982966,-0.42952806,0.5475132,-0.38195708,-1.902445,-0.090982966,-0.28666398,-3.0129292,-0.090982966,1.2329727,-1.1436456,0.0,0.26217124,-0.28666398,0.012812977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.7725000000000004,"[64, 4, 4, 10]",a.x > d.x and a.y > d.y and  
"-3.0129292,0.0,0.0,0.0,1.0404971,-0.19528197,1.9378093,-0.44976217,0.3312102,1.4156854,-0.87394685,0.2275822,-2.360562,-0.056926467,-0.19528197,1.2640333,-2.360562,-0.16503073,0.8242912,-0.6572774,0.1393737,0.49519753,-0.42952806,0.5486286,0.0,0.41660112,-0.574676,-1.290482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4.7733,"[10, 54, 66, 97, 97, 61]",a.x not > e.x and a.y not > e.y and a.z not > e.z and c.x < b.x and c.y < b.y and c.z < b.z and d.x <  68544 and d.y <  64516 and d.z <  2170 and e.x <  24381 and e.y <  6163 and  
"-3.0129292,0.0,0.0,0.0,1.0404971,-0.19528197,1.9378093,-0.44976217,0.3312102,1.4156854,-0.87394685,0.2275822,-2.360562,-0.056926467,-0.19528197,1.2640333,-2.360562,-0.16503073,0.8242912,-0.6572774,0.1393737,0.49519753,-0.42952806,0.5486286,-0.53279245,0.41660112,-0.574676,-1.290482,-0.14240444,-0.94047654,0.781852,0.74032295,0.0,-0.19528197,-0.056926467,0.45118022,0.0",4.806996075,"[10, 54, 66, 97, 97, 61, 8, 14]",a.x not > e.x and a.y not > e.y and a.z not > e.z and b.x = g.x and b.y = g.y and b.z = g.z and c.x < b.x and c.y < b.y and c.z < b.z and d.x <  68544 and d.y <  64516 and d.z <  2170 and e.x <  24381 and e.y <  6163 and  and f.x = e.x and f.y = e.y and f.z = e.z and g.x not = d.x and g.z not = d.z and h.y =  20317 and h.z =  10617
"-2.360562,0.0,0.0,0.0,0.0,-1.902445,0.19728483,-0.23639293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.902482266921794,[97],a.x <  15752 and a.y <  472 and a.z <  14804
"-2.360562,0.0,0.0,0.0,0.70501214,-1.902445,0.19728483,-0.23639293,-0.38195708,-1.3300458,-1.5452743,-0.8889038,-3.0129292,0.74032295,1.3434942,0.4339084,-0.53279245,0.16599564,1.4156854,-1.483214,0.715712,-0.67559195,-1.5130534,0.19728483,0.0,0.79136026,1.9290671,-0.44976217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.42094425,"[97, 65, 4, 10, 8, 98]",a.x <  15752 and a.y <  472 and a.z <  14804 and b.x > c.x and b.z > c.z and c.x not < e.x and c.y not < e.y and c.z not < e.z and d.z not > e.z and e.x not = d.x and e.y not = d.y and e.z not = d.z 
"0.5913989,0.0,0.0,0.0,-0.13471155,0.8578295,-0.5921118,0.74032295,0.0,0.8775952,1.9290671,0.26217124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.8,"[52, 64]",
"0.29034773,0.0,0.0,0.0,-0.38195708,0.3552669,1.6526085,0.3552669,-1.4526132,-0.18075643,0.4751273,-0.20551626,0.0,1.7118248,-0.5921118,1.4156854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.0189999999999997,"[19, 4, 69]",
"0.29034773,0.0,0.0,0.0,-0.38195708,0.3552669,1.6526085,0.3552669,-1.4526132,-0.18075643,0.4751273,-0.20551626,-0.8691499,1.7118248,-0.5921118,1.4156854,-2.360562,-0.18075643,-0.43971962,-0.69247884,-3.0129292,0.4751273,0.09552577,1.2329727,0.0,1.2307438,-1.290482,-0.92529505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.35994425,"[19, 4, 69, 47, 97, 10]",b.x not < e.x and  and c.x < a.x and c.y < a.y and c.z < a.z and d.x = c.x and d.y = c.y and d.z = c.z and e.x <  71065 and e.y <  93254 and e.z <  6282 
"0.564358,0.0,0.0,0.0,0.50940454,0.8837442,0.79136026,0.5475132,0.0,0.8578295,0.5486286,0.22080576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.59725,"[67, 99]",a.x > b.x and a.z > b.z 
