pattern,rating,events,pattern_str
"0.1939963,0.0,0.0,0.0,0.30792558,1.9306314,0.6392029,-0.87857455,0.0,-0.516554,-1.8146769,0.802178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.8745000000000003,"[54, 14]",b.x =  75159 and b.z =  895
"0.1939963,0.0,0.0,0.0,0.30792558,1.9306314,0.6392029,-0.87857455,0.2616971,-0.516554,-1.8146769,0.802178,1.3119506,0.19808768,0.07914255,-0.48205104,0.30792558,0.46433327,-0.88639754,-0.88639754,1.9489645,-1.3594273,0.07914255,0.97163284,0.0,0.8476944,0.4284118,0.41549355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4.3710925,"[54, 14, 52, 4, 14, 106]",b.x =  75159 and b.z =  895 and c.x not < d.x and  and d.x not < e.x and d.y not < e.y and d.z not < e.z and e.x =  61054 and  and 
"-0.3743328,0.0,0.0,0.0,0.0,1.0830374,-0.34971005,0.46433327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.0242780028440497,[62],
"-0.3743328,0.0,0.0,0.0,-0.6890541,1.0830374,-0.34971005,0.46433327,0.0,0.068815224,0.07914255,1.755841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.59725,"[62, 58]",
"-0.3743328,0.0,0.0,0.0,-0.6890541,1.0830374,-0.34971005,0.46433327,-0.970396,0.068815224,0.07914255,1.755841,-0.19897948,-0.29776776,1.9286572,-1.7844353,-0.17923479,-0.413989,-0.27823246,-0.27823246,-2.7128441,-0.21825139,-1.2365353,0.053940456,1.3119506,-1.2213817,-1.9944555,-1.3487794,0.0,-0.7703771,-0.49567485,0.6269036,0.0,0.0,0.0,0.0,0.0",3.5721635,"[62, 58, 23, 57, 68, 8, 4]",a.x not > d.x and  and b.x < g.x and b.y < g.y and b.z < g.z and c.x not < a.x and c.y not < a.y and c.z not < a.z and d.x not = c.x and d.z not = c.z and f.x not = d.x and  and 
"0.30004084,0.0,0.0,0.0,-0.047318283,1.755841,-0.17346567,0.0074889176,-0.970396,-2.2799082,0.841007,-1.3594273,0.2616971,-1.1546751,2.1531909,1.9306314,-0.17923479,-1.2213817,0.12720782,0.07914255,0.0,-1.8146769,0.16729644,-1.2213817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4.468125000000001,"[98, 64, 23, 52, 68]",b.y > d.y and  and c.x not < a.x and c.y not < a.y and  and 
"-0.19897948,0.0,0.0,0.0,-0.6890541,0.4284118,-0.99333334,-0.015950462,-0.6890541,0.26375166,0.8974201,0.41549355,1.3119506,-1.9240217,0.8974201,-0.21825139,-0.19897948,-0.34971005,0.7170187,0.93198395,-0.29899663,-0.015950462,0.7170187,-0.49121633,0.1939963,0.7170187,0.35382694,-1.2365353,0.0,0.14204037,-0.49363887,-0.56709933,0.0,0.0,0.0,0.0,0.0",5.0138525000000005,"[57, 58, 58, 4, 57, 44, 54]",a.x not = c.x and a.y not = c.y and  and b.x < g.x and b.y < g.y and b.z < g.z and c.x < g.x and c.y < g.y and c.z < g.z and d.x not < e.x and d.z not < e.z and e.y not = c.y and e.z not = c.z and f.x < d.x and f.y < d.y and f.z < d.z and 
"-2.7128441,0.0,0.0,0.0,-0.42170984,1.0830374,-0.15806147,-0.49363887,-0.970396,0.7170187,-2.296854,0.9171435,-2.7128441,-0.3649498,-0.8678687,0.31185648,-1.1361121,0.26375166,-1.4434769,0.6269036,1.3935039,0.10416417,-1.0139198,-0.49363887,1.3480844,-0.44822484,0.3940152,0.02160012,-0.21325415,-0.5693804,-0.8699576,0.6155221,0.0,0.053940456,0.26375166,-1.2365353,0.0",4.862224749999999,"[8, 61, 23, 8, 24, 100, 69, 67]",a.z not = d.z and b.x = e.x and b.y = e.y and b.z = e.z and c.x not < a.x and c.y not < a.y and c.z not < a.z and e.y not = a.y and e.z not = a.z and f.x > h.x and f.y > h.y and f.z > h.z and g.x < a.x and g.y < a.y and g.z < a.z and 
"0.85577255,0.0,0.0,0.0,0.21022835,-0.36669296,0.93198395,0.6392029,-0.8460329,-0.17346567,-0.5693804,1.408866,1.3480844,-0.3117138,1.3784934,-1.6132191,0.0,0.068815224,-1.9240217,-1.9944555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4.6142425000000005,"[19, 10, 16, 69]",c.x >  40873 and c.y >  14054 and c.z >  7505 and 
"0.18850368,0.0,0.0,0.0,0.0,0.35583007,0.31185648,0.0074889176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.0119311231765415,[38],
"0.18850368,0.0,0.0,0.0,-0.4429847,0.35583007,0.31185648,0.0074889176,0.0,0.6155221,1.4176247,-1.6132191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.39475,"[38, 66]",
"0.18850368,0.0,0.0,0.0,-0.4429847,0.35583007,0.31185648,0.0074889176,-0.047318283,0.6155221,1.4176247,-1.6132191,-2.7128441,-0.9714518,-0.5693804,-0.49567485,0.0,0.46433327,0.07914255,-2.0168226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.9114250000000004,"[38, 66, 64, 8]",c.y > d.y and c.z > d.z and 
