pattern,rating,events,actions,conds,pattern_str
"-0.63017553,0.0,0.0,0.0,0.0,0.0,0.0,0.4823907,1.4923859,0.7014896,-0.014071256,0.495844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.0976201797157001,[8],"['v+> ', 'v*= ', 'not =', '<', 'nop']","['and', 'and', 'or', 'or', 'or']",
"-0.63017553,0.0,0.0,0.0,0.0,0.0,1.8263589,0.4823907,1.4923859,0.7014896,-0.014071256,0.495844,0.0,-0.44023892,0.485384,-0.19840105,1.2535046,-0.8187116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.239999999999999,"[8, 58]","['v+> ', 'v*= ', 'not =', '<', 'nop', 'not >', 'v-> ', 'v*= ', 'vnot +> ', '>']","['and', 'and', 'or', 'or', 'or', 'or', 'or', 'or', 'and', 'or']",a.x +>  b.x + 19425 or a.vx < b.vx
"-0.63017553,0.0,0.0,0.0,0.0,0.0,1.8263589,0.4823907,1.4923859,0.7014896,-0.014071256,0.495844,1.159651,-0.44023892,0.485384,-0.19840105,1.2535046,-0.8187116,1.159651,0.8866744,-0.70969415,0.15827498,0.9836511,0.7291659,0.0,-0.02053427,-1.5889555,-1.693955,-0.71900016,1.2417701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.579999999999999,"[8, 58, 10, 10]","['v+> ', 'v*= ', 'not =', '<', 'nop', 'not >', 'v-> ', 'v*= ', 'vnot +> ', '>', '=', 'nop', 'nop', 'vnot +> ', 'nop', 'vnot -> ', 'not >', 'vnot -> ', 'not =', '=']","['and', 'and', 'or', 'or', 'or', 'or', 'or', 'or', 'and', 'or', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'or', 'or', 'or']",a.x +>  b.x + 19425 and a.y not = c.y + 52872 or a.vx < b.vx AND b.z not = d.z + 5016 or b.vx not +>  c.vx + 16147 AND c.x = a.x
"-0.63017553,0.0,0.0,0.0,0.0,0.0,1.8263589,0.4823907,1.4923859,0.7014896,-0.014071256,0.495844,1.159651,-0.44023892,0.485384,-0.19840105,1.2535046,-0.8187116,1.159651,0.8866744,-0.70969415,0.15827498,0.9836511,0.7291659,-1.3985066,-0.02053427,-1.5889555,-1.693955,-0.71900016,1.2417701,-0.5578397,0.4821025,-0.66985655,3.2103708,-0.9125052,-0.41826677,0.0,1.6138422,-0.20938258,-0.48009828,0.2625125,-1.5555352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.536624266361045,"[8, 58, 10, 10, 105, 4]","['v+> ', 'v*= ', 'not =', '<', 'nop', 'not >', 'v-> ', 'v*= ', 'vnot +> ', '>', '=', 'nop', 'nop', 'vnot +> ', 'nop', 'vnot -> ', 'not >', 'vnot -> ', 'not =', '=', 'nop', 'not =', 'vnot +> ', 'v-> ', 'not >', 'vnot -> ', '<', 'v+> ', 'nop', 'vnot +> ']","['and', 'and', 'or', 'or', 'or', 'or', 'or', 'or', 'and', 'or', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'or', 'or', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'or']",a.x +>  b.x + 19425 and a.y not = c.y + 52872 or a.vx < b.vx AND b.y ->  f.y + 67684 or b.z not = d.z + 5016 or b.vx not +>  c.vx + 16147 and b.vy > e.vy AND c.x = a.x or c.vx not +>  f.vx + 17551 AND d.x not ->  c.x + 91203 and d.y not > a.y and d.z not ->  a.z + 14868 or d.vx not = b.vx or d.vy = e.vy AND e.y not = d.y or e.z not +>  d.z + 9582 and e.vx ->  c.vx + 13007
"-0.63017553,0.0,0.0,0.0,0.0,0.0,1.8263589,0.4823907,1.4923859,0.7014896,-0.014071256,0.495844,1.159651,-0.44023892,0.485384,-0.19840105,1.2535046,-0.8187116,1.159651,0.8866744,-0.70969415,0.15827498,0.9836511,0.7291659,-1.3985066,-0.02053427,-1.5889555,-1.693955,-0.71900016,1.2417701,-0.5578397,0.4821025,-0.66985655,3.2103708,-0.9125052,-0.41826677,-0.63017553,1.6138422,-0.20938258,-0.48009828,0.2625125,-1.5555352,0.0,1.7350619,2.86337,-0.25710666,0.32362935,0.32019696,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.8325122632893793,"[8, 58, 10, 10, 105, 4, 8]","['v+> ', 'v*= ', 'not =', '<', 'nop', 'not >', 'v-> ', 'v*= ', 'vnot +> ', '>', '=', 'nop', 'nop', 'vnot +> ', 'nop', 'vnot -> ', 'not >', 'vnot -> ', 'not =', '=', 'nop', 'not =', 'vnot +> ', 'v-> ', 'not >', 'vnot -> ', '<', 'v+> ', 'nop', 'vnot +> ', 'nop', 'nop', 'nop', 'not >', 'v= ']","['and', 'and', 'or', 'or', 'or', 'or', 'or', 'or', 'and', 'or', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'or', 'or', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'or', 'or', 'and', 'and', 'or', 'and']",a.x +>  b.x + 19425 and a.y not = c.y + 52872 or a.vx < b.vx AND b.y ->  f.y + 67684 or b.z not = d.z + 5016 or b.vx not +>  c.vx + 16147 and b.vy > e.vy AND c.x = a.x or c.vx not +>  f.vx + 17551 AND d.x not ->  c.x + 91203 and d.y not > a.y and d.z not ->  a.z + 14868 or d.vx not = b.vx or d.vy = e.vy AND e.y not = d.y or e.z not +>  d.z + 9582 and e.vx ->  c.vx + 13007 or e.vy not > g.vy AND f.y < d.y and f.vy not +>  b.vy + 19260 AND g.vy =  18493
"-0.63017553,0.0,0.0,0.0,0.0,0.0,1.8263589,0.4823907,1.4923859,0.7014896,-0.014071256,0.495844,1.159651,-0.44023892,0.485384,-0.19840105,1.2535046,-0.8187116,1.159651,0.8866744,-0.70969415,0.15827498,0.9836511,0.7291659,-1.3985066,-0.02053427,-1.5889555,-1.693955,-0.71900016,1.2417701,-0.5578397,0.4821025,-0.66985655,3.2103708,-0.9125052,-0.41826677,-0.63017553,1.6138422,-0.20938258,-0.48009828,0.2625125,-1.5555352,-0.5578397,1.7350619,2.86337,-0.25710666,0.32362935,0.32019696,0.0,1.4001973,-1.7779942,1.5391775,-0.917232,-1.0010533,0.0",0.5228096930245567,"[8, 58, 10, 10, 105, 4, 8, 4]","['v+> ', 'v*= ', 'not =', '<', 'nop', 'not >', 'v-> ', 'v*= ', 'vnot +> ', '>', '=', 'nop', 'nop', 'vnot +> ', 'nop', 'vnot -> ', 'not >', 'vnot -> ', 'not =', '=', 'nop', 'not =', 'vnot +> ', 'v-> ', 'not >', 'vnot -> ', '<', 'v+> ', 'nop', 'vnot +> ', 'nop', 'nop', 'nop', 'not >', 'v= ', 'not >', 'nop', 'vnot *= ', 'v-> ', '>']","['and', 'and', 'or', 'or', 'or', 'or', 'or', 'or', 'and', 'or', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'or', 'or', 'or', 'and', 'or', 'and', 'or', 'and', 'and', 'and', 'and', 'and', 'or', 'or', 'and', 'and', 'or', 'and', 'or', 'and', 'and', 'and', 'or']",a.x +>  b.x + 19425 and a.y not = c.y + 52872 or a.vx < b.vx AND b.x not > h.x or b.y ->  f.y + 67684 or b.z not = d.z + 5016 or b.vx not +>  c.vx + 16147 and b.vy > e.vy AND c.x = a.x or c.vx not +>  f.vx + 17551 AND d.x not ->  c.x + 91203 and d.y not > a.y and d.z not ->  a.z + 14868 or d.vx not = b.vx or d.vy = e.vy AND e.y not = d.y or e.z not +>  d.z + 9582 and e.vx ->  c.vx + 13007 or e.vy not > g.vy AND f.x not ->  h.x + 38408 and f.y < d.y and f.vy not +>  b.vy + 19260 AND g.vx not > c.vx or g.vy =  18493
"-1.3985066,0.0,0.0,0.0,0.0,0.0,0.0,1.62585,-0.92596424,-0.3777428,-0.44023892,0.12869886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",0.968576890847902,[105],"['not >', 'vnot +> ', 'vnot = ', 'not >', 'not =']","['and', 'and', 'and', 'or', 'and']",a.z not =  2640
"-1.3985066,0.0,0.0,0.0,0.0,0.0,-0.10840518,1.62585,-0.92596424,-0.3777428,-0.44023892,0.12869886,0.0,0.21850403,0.21850403,-0.19840105,2.6439266,1.2957829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.9499999999999997,"[105, 14]","['not >', 'vnot +> ', 'vnot = ', 'not >', 'not =', 'vnot -> ', 'vnot -> ', 'nop', 'not =', 'nop']","['and', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'and', 'or']",a.y not +>  b.y + 72389 and a.z not =  2640
"-1.3985066,0.0,0.0,0.0,0.0,0.0,-0.10840518,1.62585,-0.92596424,-0.3777428,-0.44023892,0.12869886,-0.52079463,0.21850403,0.21850403,-0.19840105,2.6439266,1.2957829,0.0,0.2625125,0.43988803,-0.19840105,0.54282004,0.2491213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.0250000000000004,"[105, 14, 69]","['not >', 'vnot +> ', 'vnot = ', 'not >', 'not =', 'vnot -> ', 'vnot -> ', 'nop', 'not =', 'nop', 'nop', 'v-> ', 'nop', 'vnot -> ', 'v*= ']","['and', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'and', 'or', 'and', 'or', 'or', 'and', 'and']",a.y not +>  b.y + 72389 and a.z not =  2640
"-1.3985066,0.0,0.0,0.0,0.0,0.0,-0.10840518,1.62585,-0.92596424,-0.3777428,-0.44023892,0.12869886,-0.52079463,0.21850403,0.21850403,-0.19840105,2.6439266,1.2957829,-0.52079463,0.2625125,0.43988803,-0.19840105,0.54282004,0.2491213,0.0,2.86337,-1.1245853,1.809529,-1.3020434,0.54519814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.8499999999999996,"[105, 14, 69, 69]","['not >', 'vnot +> ', 'vnot = ', 'not >', 'not =', 'vnot -> ', 'vnot -> ', 'nop', 'not =', 'nop', 'nop', 'v-> ', 'nop', 'vnot -> ', 'v*= ', 'nop', 'not =', 'v+> ', 'vnot +> ', 'not >']","['and', 'and', 'and', 'or', 'and', 'or', 'or', 'or', 'and', 'or', 'and', 'or', 'or', 'and', 'and', 'and', 'or', 'or', 'and', 'and']",a.y not +>  b.y + 72389 and a.z not =  2640
