pattern,rating,events,pattern_str
"-0.96407586,0.0,0.0,0.0,0.0,0.0,0.0,-1.8970196,0.59787196,0.014542606,1.5048599,0.9038178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.176787687567111,[24],
"-0.96407586,0.0,0.0,0.0,0.0,0.0,-2.194759,-1.8970196,0.59787196,0.014542606,1.5048599,0.9038178,0.0,-0.09582306,0.007530379,0.18049787,1.0275655,0.061120138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",4.199999999999999,"[24, 68]",
"-0.96407586,0.0,0.0,0.0,0.0,0.0,-2.194759,-1.8970196,0.59787196,0.014542606,1.5048599,0.9038178,0.3948189,-0.09582306,0.007530379,0.18049787,1.0275655,0.061120138,0.0,-0.535083,0.39400622,1.2498744,-0.87413114,-0.7671591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.775,"[24, 68, 28]",b.x > c.x and b.y > c.y and b.vx > c.vx and b.vy > c.vy
"-0.96407586,0.0,0.0,0.0,0.0,0.0,-2.194759,-1.8970196,0.59787196,0.014542606,1.5048599,0.9038178,0.3948189,-0.09582306,0.007530379,0.18049787,1.0275655,0.061120138,-0.013720785,-0.535083,0.39400622,1.2498744,-0.87413114,-0.7671591,0.0,-1.1936361,0.007530379,-1.1045356,-0.42751566,1.0104371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",5.9375,"[24, 68, 28, 98]",b.x > c.x and b.y > c.y and b.vx > c.vx and b.vy > c.vy
"-0.96407586,0.0,0.0,0.0,0.0,0.0,-2.194759,-1.8970196,0.59787196,0.014542606,1.5048599,0.9038178,0.3948189,-0.09582306,0.007530379,0.18049787,1.0275655,0.061120138,-0.013720785,-0.535083,0.39400622,1.2498744,-0.87413114,-0.7671591,0.0040797484,-1.1936361,0.007530379,-1.1045356,-0.42751566,1.0104371,0.0,-0.13281898,-0.27091572,0.6783866,-0.5010683,-0.5010683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6.01875,"[24, 68, 28, 98, 106]",a.x not = e.x + 60341 and a.y not = e.y + 37522 and a.z not = e.z + 13192 and a.vx not = e.vx + 16322 and a.vy not = e.vy + 393 AND b.x > c.x and b.y > c.y and b.vx > c.vx and b.vy > c.vy AND d.x > a.x and d.y > a.y and d.z > a.z and d.vx > a.vx
"-0.96407586,0.0,0.0,0.0,0.0,0.0,-2.194759,-1.8970196,0.59787196,0.014542606,1.5048599,0.9038178,0.3948189,-0.09582306,0.007530379,0.18049787,1.0275655,0.061120138,-0.013720785,-0.535083,0.39400622,1.2498744,-0.87413114,-0.7671591,0.0040797484,-1.1936361,0.007530379,-1.1045356,-0.42751566,1.0104371,0.0040797484,-0.13281898,-0.27091572,0.6783866,-0.5010683,-0.5010683,0.0,1.0492758,0.12561865,-0.83194894,-1.0604591,-0.32101235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6.059375,"[24, 68, 28, 98, 106, 106]",a.x not = e.x + 60341 and a.y not = e.y + 37522 and a.z not = e.z + 13192 and a.vx not = e.vx + 16322 and a.vy not = e.vy + 393 AND b.x > c.x and b.y > c.y and b.vx > c.vx and b.vy > c.vy AND d.x > a.x and d.y > a.y and d.z > a.z and d.vx > a.vx AND e.x < c.x and e.y < c.y and e.vx < c.vx and e.vy < c.vy
"-0.96407586,0.0,0.0,0.0,0.0,0.0,-2.194759,-1.8970196,0.59787196,0.014542606,1.5048599,0.9038178,0.3948189,-0.09582306,0.007530379,0.18049787,1.0275655,0.061120138,-0.013720785,-0.535083,0.39400622,1.2498744,-0.87413114,-0.7671591,0.0040797484,-1.1936361,0.007530379,-1.1045356,-0.42751566,1.0104371,0.0040797484,-0.13281898,-0.27091572,0.6783866,-0.5010683,-0.5010683,0.3948189,1.0492758,0.12561865,-0.83194894,-1.0604591,-0.32101235,0.0,-0.27091572,0.34199253,0.39400622,1.3030417,1.2718674,0.0,0.0,0.0,0.0,0.0,0.0,0.0",6.884375,"[24, 68, 28, 98, 106, 106, 28]",a.x not = e.x + 60341 and a.y not = e.y + 37522 and a.z not = e.z + 13192 and a.vx not = e.vx + 16322 and a.vy not = e.vy + 393 AND b.x > c.x and b.y > c.y and b.vx > c.vx and b.vy > c.vy AND d.x > a.x and d.y > a.y and d.z > a.z and d.vx > a.vx AND e.x < c.x and e.y < c.y and e.vx < c.vx and e.vy < c.vy AND f.x < c.x and f.y < c.y and f.z < c.z and f.vx < c.vx and f.vy < c.vy
"-0.96407586,0.0,0.0,0.0,0.0,0.0,-2.194759,-1.8970196,0.59787196,0.014542606,1.5048599,0.9038178,0.3948189,-0.09582306,0.007530379,0.18049787,1.0275655,0.061120138,-0.013720785,-0.535083,0.39400622,1.2498744,-0.87413114,-0.7671591,0.0040797484,-1.1936361,0.007530379,-1.1045356,-0.42751566,1.0104371,0.0040797484,-0.13281898,-0.27091572,0.6783866,-0.5010683,-0.5010683,0.3948189,1.0492758,0.12561865,-0.83194894,-1.0604591,-0.32101235,-0.08137311,-0.27091572,0.34199253,0.39400622,1.3030417,1.2718674,0.0,0.30872345,-1.3068653,0.3432723,1.5048599,0.2472432,0.0",7.6546875,"[24, 68, 28, 98, 106, 106, 28, 57]",a.x not = e.x + 60341 and a.y not = e.y + 37522 and a.z not = e.z + 13192 and a.vx not = e.vx + 16322 and a.vy not = e.vy + 393 AND b.x > c.x and b.y > c.y and b.vx > c.vx and b.vy > c.vy AND d.x > a.x and d.y > a.y and d.z > a.z and d.vx > a.vx AND e.x < c.x and e.y < c.y and e.vx < c.vx and e.vy < c.vy AND f.x < c.x and f.y < c.y and f.z < c.z and f.vx < c.vx and f.vy < c.vy AND g.y ->  c.y + 47527 and g.vy ->  c.vy + 15021
"-0.08137311,0.0,0.0,0.0,0.0,0.0,0.0,-1.544317,0.045577124,0.83835304,0.4199105,-0.91681325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.1642994745240065,[57],
"-0.08137311,0.0,0.0,0.0,0.0,0.0,-0.48226243,-1.544317,0.045577124,0.83835304,0.4199105,-0.91681325,0.0,-0.36376926,-0.45625982,-0.8928289,0.25809926,2.816358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.9499999999999997,"[57, 54]",
