pattern,rating,events,pattern_str
"0.33096007,0.0,0.0,-0.49827766,0.9120824,1.8333403,-0.28183728,-0.8450524,1.3771998,0.38047302,-0.803258,-0.8450524,0.49673882,-0.85568976,-0.17412886,0.9120824,-0.8551928,0.011893499,-0.17412886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.76092875,"[99, 105, 8, 52, 10]",a.x >  69178 and  and b.x <  48580 and b.y > c.y or  and c.x =  69454 and c.y <  35825 and c.z = d.z and d.x >  11752 and d.y >  89263 and d.z >  11423 and e.z >  9200
"0.33096007,0.0,0.0,-0.49827766,0.9120824,1.8333403,-0.28183728,-0.8450524,1.3771998,0.38047302,-0.803258,-0.8450524,0.49673882,-0.85568976,-0.17412886,-0.31161597,-0.8551928,0.011893499,-0.4778787,-1.0459348,0.9120824,2.1877804,-0.17412886,0.37492523,0.011893499,2.5101514,2.5101514,1.5809183,0.0,0.0,0.0,0.0,0.0,0.0",1.800446325,"[99, 105, 8, 52, 10, 74, 58, 47]",a.x >  69178 and  and b.x <  48580 and b.y > c.y or  and c.x =  69454 and c.y <  35825 and c.z = d.z and d.x >  11752 and d.y >  89263 and d.z >  11423 and e.x > f.x or e.y not = f.y or e.z >  9200 and f.x =  48063 and f.y >  13367 and f.z >  3062 and g.x >  80370 and g.y < h.y or g.z not = h.z and 
"0.27630204,0.0,0.0,-0.49827766,-0.8450524,-1.0276952,-1.8421305,-0.8551928,-0.8450524,-1.0276952,-1.0459348,-0.85568976,-0.17412886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.0928,"[63, 105, 68]",a.x <  4141 and  and b.y <  63661 and b.z not < c.z and c.x =  33426 and c.y >  4082 and c.z >  10619
"0.27630204,0.0,0.0,-0.49827766,-0.8450524,-1.0276952,-1.8421305,-0.8551928,-0.8450524,0.60311306,-1.0459348,-0.85568976,-0.17412886,-0.97046983,-0.8551928,2.5101514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.691553,"[63, 105, 68, 16]",a.x <  4141 and  and b.y <  63661 and b.z not < c.z and c.x =  33426 and c.y >  4082 and c.z >  10619 and 
"0.27630204,0.0,0.0,-0.49827766,-0.8450524,-1.0276952,-1.8421305,-0.8551928,-0.8450524,0.60311306,-1.0459348,-0.85568976,0.90536624,-0.97046983,-0.8551928,2.5101514,1.3771998,-0.85568976,1.3771998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.78842825,"[63, 105, 68, 16, 69]",a.x <  4141 and  and b.y <  63661 and b.z not < c.z and c.x =  33426 and c.y >  4082 and c.z >  10619 and d.x < e.x or d.y > e.y or  and e.y >  22195 and 
"0.27630204,0.0,0.0,-0.49827766,-0.8450524,-1.0276952,-1.8421305,-0.8551928,-0.8450524,0.60311306,-1.0459348,-0.85568976,0.90536624,-0.97046983,-0.8551928,0.30132043,1.3771998,-0.85568976,1.3771998,1.5809183,1.3771998,-0.97046983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.08689075,"[63, 105, 68, 16, 69, 67]",a.x <  4141 and  and b.y <  63661 and b.z not < c.z and c.x =  33426 and c.y >  4082 and c.z >  10619 and d.x < e.x or d.y > e.y or  and e.x > f.x or e.y >  22195 and e.z > f.z and f.x <  6358 and 
"0.27630204,0.0,0.0,-0.49827766,-0.8450524,-1.0276952,-1.8421305,-0.8551928,-0.8450524,0.60311306,-1.0459348,-0.85568976,0.90536624,-0.97046983,-0.8551928,0.30132043,1.3771998,-0.85568976,0.49673882,1.5809183,1.3771998,-0.97046983,-0.803258,0.37492523,-1.0459348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.3486145,"[63, 105, 68, 16, 69, 67, 10]",a.x <  4141 and  and b.y <  63661 and b.z not < c.z and c.x =  33426 and c.y >  4082 and c.z >  10619 and d.x < e.x or d.y > e.y or  and e.x > f.x or e.y >  22195 and e.z > f.z and f.x <  6358 and f.y > g.y or f.z < g.z and g.x =  56618 and g.z =  1383
"-0.57502204,0.0,0.0,-0.5160239,1.8333403,-0.051217794,-0.28183728,-0.8551928,-0.97046983,-0.5160239,0.011893499,1.296188,-0.31161597,1.5809183,-0.051217794,0.49673882,-0.8450524,1.296188,0.8699865,0.011893499,0.9120824,-0.76687014,-0.803258,1.296188,-0.095927425,1.3771998,-0.803258,1.8333403,2.5101514,1.524994,-0.8551928,0.0,0.0,0.0",2.1493617,"[62, 71, 8, 71, 74, 10, 106, 59, 65]",a.y =  47963 and a.z >  7901 and b.x > c.x or b.y < c.y or b.z >  822 and c.y = d.y or  and d.x <  74691 and d.y =  76917 and d.z < e.z and e.x <  92752 and e.y = f.y or e.z = f.z and f.x not = g.x or f.y >  49045 and  and g.x =  69347 and g.y = h.y or  and h.y =  70877 and  and i.y <  73724 and 
"0.27630204,0.0,0.0,-0.095927425,1.8333403,1.3771998,0.059918094,1.524994,-0.17412886,1.296188,-1.0459348,2.5101514,0.37492523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.5955275,"[63, 65, 4]",a.y > b.y or a.z <  11856 and b.x <  55156 and b.y >  90900 and b.z = c.z and c.x =  21877 and 
"0.27630204,0.0,0.0,-0.095927425,1.8333403,1.3771998,0.059918094,1.524994,-0.17412886,0.28999132,-1.0459348,2.5101514,0.28999132,1.8333403,-0.8551928,1.296188,-1.0459348,0.011893499,-1.0276952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.04030525,"[63, 65, 4, 98, 98]",a.y > b.y or a.z <  11856 and b.x <  55156 and b.y >  90900 and b.z = c.z and c.x =  21877 and  and d.z = e.z and e.x =  34931 and 
