pattern,rating,events,pattern_str
"-0.1359488,0.0,0.0,-0.32181007,-0.116349585,0.5656936,-0.116349585,0.9730142,-0.46572128,0.012561094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.403025,"[4, 53]",a.y not > b.y or a.z >  4307 and b.x <  4613 and b.z <  12460
"-0.1359488,0.0,0.0,-0.32181007,-0.116349585,0.5656936,1.1934896,0.9730142,-0.46572128,1.145627,-0.8543927,2.3883722,1.1934896,-1.183233,0.23586434,-0.14969127,-0.116349585,-1.1399735,0.4072226,-0.8543927,0.48391172,-0.6450625,-0.116349585,0.7121273,1.2598536,-1.2400949,0.012561094,0.84678924,0.23586434,-1.183233,-0.46572128,0.0,0.0",2.357868975,"[4, 53, 40, 38, 40, 16, 73, 10, 8]",a.y not > b.y or a.z >  4307 and b.x <  4613 and b.y = c.y or b.z <  12460 and c.z < d.z and d.y <  79601 and  and e.x >  6832 and e.y =  63438 and e.z < f.z and f.x =  58784 and f.y = g.y or f.z >  5836 and g.x >  54313 and g.y =  75473 and g.z <  13411 and h.x < i.x or h.y <  25759 and h.z not < i.z and i.x <  87776 and 
"0.15980116,0.0,0.0,-0.6549368,-0.8347567,0.9107357,1.4487876,0.5656936,2.3883722,0.4072226,2.3883722,0.9107357,1.7683835,2.3883722,0.7526911,0.8648011,0.9730142,0.7121273,-1.6852578,-0.116349585,-0.46572128,-0.8543927,-1.3832569,-0.46572128,0.23586434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.04856485,"[63, 24, 65, 73, 106, 100, 61]",a.x >  94164 and a.y > b.y or a.z =  3633 and b.x not > c.x or b.z >  10415 and c.y > d.y or c.z =  4283 and d.y >  72533 and  and e.x <  25406 and e.y =  1067 and e.z <  5807 and f.x >  31893 and f.y = g.y or f.z =  5310 and g.z <  5469
"-0.1359488,0.0,0.0,-0.1359488,0.48391172,0.23586434,1.2598536,0.5656936,2.3883722,-0.08869571,-0.8543927,0.7121273,1.0396085,-0.8347567,0.9107357,-0.1359488,0.94738483,-1.3832569,0.0276081,0.84678924,0.94738483,0.012561094,0.7121273,0.5656936,-1.3832569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.511905303,"[4, 4, 8, 97, 62, 4, 57]",a.x = b.x or a.y <  97140 and  and b.x not > c.x or b.z = c.z and c.y =  53923 and c.z >  6312 and d.x >  72054 and d.y > e.y or d.z < e.z and e.x > f.x or e.y not = f.y or e.z < f.z and f.x not < g.x or f.y > g.y or f.z <  4966 and 
"-0.1359488,0.0,0.0,-0.1359488,0.48391172,0.23586434,1.2598536,0.5656936,2.3883722,-0.08869571,-0.8543927,0.7121273,1.0396085,-0.8347567,0.9107357,-0.1359488,0.94738483,-1.3832569,0.0276081,0.84678924,0.94738483,-0.1359488,0.7121273,0.5656936,-1.3832569,0.9730142,0.94738483,0.7121273,0.0,0.0,0.0,0.0,0.0",4.264405331,"[4, 4, 8, 97, 62, 4, 57, 4]",a.x = b.x or a.y <  97140 and  and b.x not > c.x or b.z = c.z and c.y =  53923 and c.z >  6312 and d.x >  72054 and d.y > e.y or d.z < e.z and e.x > f.x or e.y not = f.y or e.z < f.z and f.x not < g.x or f.y > g.y or f.z <  4966 and g.z not = h.z and h.x <  7909 and h.z =  11219
"-0.08869571,0.0,0.0,1.2598536,2.3883722,0.7121273,-1.2400949,0.9730142,0.9107357,2.3883722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.1525,"[97, 8]",a.y =  48273 and  and b.x <  73212 and 
"-0.08869571,0.0,0.0,1.2598536,2.3883722,0.7121273,1.7683835,0.9730142,0.9107357,1.2598536,-0.8347567,-1.2400949,0.48391172,-0.116349585,-0.46572128,0.84678924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",2.372778,"[97, 8, 106, 8]",a.y =  48273 and  and b.x <  73212 and  and c.x >  26972 and c.y < d.y or c.z = d.z and d.x >  56696 and 
"-0.08869571,0.0,0.0,1.2598536,2.3883722,0.7121273,1.7683835,0.9730142,0.9107357,1.2598536,-0.8347567,-1.2400949,0.010832735,-0.116349585,-0.46572128,-1.0694515,-1.2400949,0.9730142,0.23586434,-1.183233,0.5656936,0.7121273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",3.0159078,"[97, 8, 106, 8, 13, 69]",a.y =  48273 and  and b.x <  73212 and  and c.x >  26972 and c.y < d.y or c.z = d.z and d.x >  56696 and d.y = e.y or d.z not < e.z and e.x < f.x or e.y <  46424 and e.z <  5589 and 
"-0.08869571,0.0,0.0,1.2598536,2.3883722,0.7121273,1.7683835,0.9730142,0.9107357,1.2598536,-0.8347567,-1.2400949,0.010832735,-0.116349585,-0.46572128,-1.0694515,-1.2400949,0.9730142,-0.6549368,-1.183233,0.5656936,0.0276081,-0.46572128,-1.183233,0.9730142,0.7526911,0.84678924,-0.8347567,0.0,0.0,0.0,0.0,0.0",3.3263166,"[97, 8, 106, 8, 13, 69, 24, 57]",a.y =  48273 and  and b.x <  73212 and  and c.x >  26972 and c.y < d.y or c.z = d.z and d.x >  56696 and d.y = e.y or d.z not < e.z and e.x < f.x or e.y <  46424 and e.z <  5589 and f.x < g.x or f.y not > g.y or  and g.x = h.x or g.y < h.y or g.z <  10995 and h.x >  67013 and h.z >  14215
"0.8648011,0.0,0.0,-0.1359488,0.23586434,0.84678924,0.4397452,0.5656936,0.94738483,-1.3832569,-0.46572128,0.9107357,0.48391172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",1.5977775,"[100, 4, 23]",a.x <  94767 and  and b.x not > c.x or b.y > c.y or b.z not = c.z and 
