10,11799725883470928,-5255,17331,-329,7372,-6687,-959
24,11799764907553624,32083,-408,517,8976,3762,2296
47,11799774315500053,52041,-2670,63,-5427,8377,610
57,11799789139352043,36734,8656,-137,6450,-4876,5883
49,11799791324503896,47908,-7198,75,-4081,-9123,329
53,11799833028198321,9961,-3783,-93,9193,-3593,-1601
54,11799838290634944,9941,-3947,282,9597,-2705,-756
59,11799885539207641,12913,11505,-208,9865,863,1388
19,11799910773987377,17572,-13950,-71,9932,1153,-133
4,11799918465474584,-5490,-13064,-220,8964,-4237,1293
65,11799943656562731,39561,10994,-309,4604,-6491,6054
71,11800006903492746,25793,12356,-151,8127,5577,1687
74,11800033649631900,28392,-5202,497,4649,-6434,6081
40,11800132896900952,25693,12179,143,2530,9017,-3503
16,11800166002810483,51940,-2526,70,5592,6258,5436
58,11800173094065335,37577,7895,350,4198,-9029,915
66,11800192829887993,40191,10263,-142,8192,884,-5666
44,11800194926002570,47109,-2205,1073,3289,-6260,7069
38,11800237997438375,17606,11901,111,6553,6739,-3410
8,11800277257925357,49888,-5401,-11,-4900,-8716,-41
75,11800312796607987,47794,-2304,126,2129,-9764,347
10,11800517350789414,-5374,17352,-35,6311,-6910,3523
69,11800546732792279,17617,12421,232,9707,943,2207
62,11800565584094333,28555,29627,85,-2427,9527,-1824
4,11800650044253324,-5475,-13068,-249,-3094,1055,9450
13,11800778859578296,29780,-21537,98,-6251,7802,-205
67,11800864231713959,36564,3586,-47,5572,-8270,-736
68,11800972436811396,36179,3214,296,1670,-8740,4562
28,11800978595226495,14095,11201,75,9966,710,411
8,11801044739758196,47375,-9900,-150,-3194,-9327,1674
64,11801114221146449,44289,7340,242,-353,-4992,-8657
52,11801114389683683,18847,-14174,-202,8677,-2105,-4501
105,11801180823574243,20102,19019,-610,8751,-1910,-4444
100,11801252321757631,28190,30083,413,-6572,4976,5660
73,11801254276527650,31103,-6212,-245,-650,-8599,-5062
10,11801308818107052,-5317,17325,-213,-1965,1862,9626
4,11801381623032276,-5443,-13086,-329,4476,-4086,-7954
63,11801408956605454,44248,7074,-69,-5871,-7998,1241
14,11801522249649481,29854,-21159,591,4852,-4290,7618
106,11801665148620801,20657,18283,294,9062,-3324,-2612
61,11801701645258653,28444,30278,208,-5335,-7488,3930
